Basket,Basket Name,Keyword
0,Men Lederhosen & Outfits,german lederhosen women
0,Men Lederhosen & Outfits,german lederhosen male
0,Men Lederhosen & Outfits,outfit oktoberfest herren
0,Men Lederhosen & Outfits,long lederhosen pants
0,Men Lederhosen & Outfits,lederhosen men oktoberfest
0,Men Lederhosen & Outfits,lederhosen men traditional
0,Men Lederhosen & Outfits,oktoberfest outfit herren
0,Men Lederhosen & Outfits,german lederhosen outfit
0,Men Lederhosen & Outfits,plus size lederhosen
0,Men Lederhosen & Outfits,traditional german lederhosen
0,Men Lederhosen & Outfits,lederhosen male
0,Men Lederhosen & Outfits,male lederhosen
0,Men Lederhosen & Outfits,lederhosen men outfit
0,Men Lederhosen & Outfits,lederhosen shirt men
0,Men Lederhosen & Outfits,lederhosen mens
0,Men Lederhosen & Outfits,lederhosen mens outfit
0,Men Lederhosen & Outfits,lederhosen socks men
1,Women Outfits & Clothing,traditional german female outfit
1,Women Outfits & Clothing,oktoberfest clothing for women
1,Women Outfits & Clothing,womens oktoberfest clothing
1,Women Outfits & Clothing,oktoberfest dresses
1,Women Outfits & Clothing,german outfit female
2,Oktoberfest General,lederhosen oktoberfest
2,Oktoberfest General,oktoberfest costume germany
2,Oktoberfest General,oktoberfest lederhosen
2,Oktoberfest General,traditional oktoberfest outfits
3,Women Dirndl & Dresses,german dirndl dresses
3,Women Dirndl & Dresses,oktoberfest traditional dirndl
3,Women Dirndl & Dresses,dirndl size 50
4,Accessories,german bundhosen
4,Accessories,bundhosen
4,Accessories,suspenders lederhosen
4,Accessories,lederhosen suspenders
4,Accessories,lederhosen belt
4,Accessories,bavarian trachten shirt
5,Men Shoes & Socks,men's oktoberfest shoes
5,Men Shoes & Socks,shoes lederhosen
5,Men Shoes & Socks,mens lederhosen shoes
5,Men Shoes & Socks,lederhosen socks
5,Men Shoes & Socks,lederhosen shoes
5,Men Shoes & Socks,lederhosen men socks
5,Men Shoes & Socks,oktoberfest mens shoes
5,Men Shoes & Socks,oktoberfest socks
5,Men Shoes & Socks,oktoberfest shoes mens
6,Men Shirts,men's oktoberfest shirt
6,Men Shirts,lederhosen shirts
6,Men Shirts,oktoberfest shirts for men
6,Men Shirts,mens lederhosen shirt
6,Men Shirts,lederhosen men shirt
6,Men Shirts,lederhosen t shirts
6,Men Shirts,mens oktoberfest shirt
7,Other,lederhosen sale
7,Other,long lederhosen
7,Other,lederhosen sales
